;ConvertZ,
　了望,　瞭望
　方才,　方纔
　象,　像
　象牙,　象牙
　象形,　象形
　象征,　象徵
　象征服,　像征服
　象征战,　像征戰
　象征战争,　象徵戰爭
　象限,　象限
　象棋,　象棋
　象鼻,　象鼻
　象徵,　象徵
！准！,！準！
！恩，,！嗯，
！恩。,！嗯。
！恩…,！嗯…
！象,！像
！象牙,！象牙
！象形,！象形
！象征,！象徵
！象征服,！像征服
！象征战,！像征戰
！象征战争,！象徵戰爭
！象板,！象板
！象限,！象限
！象棋,！象棋
！象鼻,！象鼻
！象徵,！象徵
！象声,！象聲
，了望,，瞭望
，斗了,，鬥了
，斗了胆,，斗了膽
，思，,，嗯，
，准叫,，準叫
，准有,，準有
，准把,，準把
，准要,，準要
，径,，逕
，径斗,，徑鬥
，径技,，徑技
，径长,，徑長
，径粗,，徑粗
，径较,，徑較
，径赛,，徑賽
，径阔,，徑闊
，恩，,，嗯，
，恩…,，嗯…
，象,，像
，象牙,，象牙
，象形,，象形
，象征,，象徵
，象征服,，像征服
，象征战,，像征戰
，象征战争,，象徵戰爭
，象板,，象板
，象限,，象限
，象棋,，象棋
，象鼻,，象鼻
，象徵,，象徵
，象声,，象聲
，说不准,，說不準
、又准,、又準
、准、,、準、
。了望,。瞭望
。思，,。嗯，
。恩，,。嗯，
。恩…,。嗯…
。象,。像
。象牙,。象牙
。象形,。象形
。象征,。象徵
。象征服,。像征服
。象征战,。像征戰
。象征战争,。象徵戰爭
。象板,。象板
。象限,。象限
。象棋,。象棋
。象鼻,。象鼻
。象徵,。象徵
。象声,。象聲
？恩，,？嗯，
？恩。,？嗯。
？恩…,？嗯…
？象,？像
？象牙,？象牙
？象形,？象形
？象征,？象徵
？象征服,？像征服
？象征战,？像征戰
？象征战争,？象徵戰爭
？象板,？象板
？象限,？象限
？象棋,？象棋
？象鼻,？象鼻
？象徵,？象徵
？象声,？象聲
‘,『
’,』
“,「
“丁当,「叮噹
“方才,「方纔
“恩！,「嗯！
“恩，,「嗯，
“恩。,「嗯。
“恩？,「嗯？
“喂,「喂
“象,「像
“象牙,「象牙
“象形,「象形
“象征,「象徵
“象征服,「象征服
“象征战,「像征戰
“象板,「象板
“象限,「象限
“象棋,「象棋
“象鼻,「象鼻
“象徵,「象徵
“象声,「象聲
“当！,「噹！
“当！当！,「噹！噹！
“当”,「噹」
”,」
”径,」逕
「丁当,「叮噹
「方才,「方纔
「恩！,「嗯！
「恩，,「嗯，
「恩。,「嗯。
「恩？,「嗯？
「喂,「喂
「象,「像
「象牙,「象牙
